ID	value	group
1	4.21	_NS
2	3.35	NS
3	3.72	NS
4	3.76	NS
5	3.67	NS
6	3.77	NS
7	2.69	NS
8	4.31	NS
9	2.87	NS
10	4.11	NS
11	3.47	NS
12	2.8	NS
13	4.14	NS
14	2.67	NS
15	5.31	NS
16	4.23	NS
17	4.52	NS
18	2.56	NS
19	4.26	NS
20	3.03	NS
21	4.85	NS
22	3.57	NS
23	1.38	NS
24	3.59	NS
25	3.56	NS
26	4.72	NS
27	3.82	NS
28	4.04	NS
29	4.2	NS
30	4.27	NS
31	3.84	NS
32	3.57	NS
33	3.05	NS
34	3.87	NS
35	2.09	NS
36	3.53	NS
37	3.19	NS
38	3.05	NS
39	4.38	NS
40	4.06	NS
41	3.12	NS
42	3.43	NS
43	3.25	NS
44	3.15	NS
45	5.05	NS
46	3.79	NS
47	2.92	NS
48	4.8	NS
49	3.67	NS
50	1.97	NS
51	3.71	NS
52	3.94	NS
53	4.75	NS
54	3.78	NS
55	2.76	NS
56	3.47	NS
57	5.15	NS
58	4.59	NS
59	3.36	NS
60	4.45	NS
61	4.43	NS
62	2.72	NS
63	4.6	NS
64	2.89	NS
65	4.33	NS
66	4.07	NS
67	4.29	NS
68	3.43	NS
69	3.1	NS
70	4.46	NS
71	3.38	NS
72	3.18	NS
73	6.47	NS
74	3.42	NS
75	5.15	NS
76	3.21	NS
77	4.2	NS
78	3.72	NS
79	2.56	NS
80	4	NS
81	5.27	NS
82	4.45	NS
83	4.04	NS
84	3.8	NS
85	2.98	NS
86	4.11	NS
87	3.17	NS
88	4.51	NS
89	4.02	NS
90	5.33	NS
91	3.04	NS
92	4.11	NS
93	3.35	NS
94	4.47	NS
95	4.69	NS
96	3.79	NS
97	3.05	NS
98	3.38	NS
99	4.75	NS
100	4.74	NS
101	2.44	NS
102	3.85	NS
103	4.38	NS
104	5.65	NS
105	3.75	NS
106	3.83	NS
107	3.9	NS
108	3.36	NS
109	2.34	NS
110	4.25	NS
111	3.85	NS
112	3.47	NS
113	2.5	NS
114	3.76	NS
115	4.1	NS
116	4.18	NS
117	5.03	NS
118	4.61	NS
119	2.95	NS
120	3.16	NS
121	4.15	NS
122	4.22	NS
123	3.24	NS
124	1.57	NS
125	2.92	NS
126	3.26	NS
127	3.01	NS
128	4.11	NS
129	3.06	NS
130	3.43	NS
131	3.15	NS
132	2.98	NS
133	4.58	NS
134	3.27	NS
135	3.81	NS
136	3.93	NS
137	4.14	NS
138	4.02	NS
139	4.01	NS
140	4.3	NS
141	3.52	NS
142	4.96	NS
143	3.92	NS
144	3.93	NS
145	3.56	NS
146	4.39	NS
147	3.51	NS
148	3.77	NS
149	3.67	NS
150	3.74	NS
151	4.83	NS
152	4.56	NS
153	5.1	NS
154	2.11	NS
155	3.89	NS
156	3.64	NS
157	4.02	NS
158	4.68	NS
159	3.88	NS
160	3.4	NS
161	2.99	NS
162	5.19	NS
163	3.09	NS
164	3.01	NS
165	2.83	NS
166	3.49	NS
167	3.79	NS
168	4.82	NS
169	4.17	NS
170	2.83	NS
171	3.09	NS
172	3.87	NS
173	4.98	NS
174	4.08	NS
175	4.8	NS
176	5.8	NS
177	2.99	NS
178	4.41	NS
179	2.96	NS
180	4.86	NS
181	3.6	NS
182	3.57	NS
183	4.08	NS
184	4.55	NS
185	5.58	NS
186	4.2	NS
187	4.17	NS
188	3.9	NS
189	3.85	NS
190	2.53	NS
191	2.57	NS
192	5.14	NS
193	3.94	NS
194	4.76	NS
195	3.97	NS
196	4.58	NS
197	4.79	NS
198	4.01	NS
199	1.88	NS
200	5.57	NS
201	2.83	PS
202	2.94	PS
203	2.16	PS
204	3.07	PS
205	3.54	PS
206	3.1	PS
207	2.25	PS
208	3.6	PS
209	3.71	PS
210	4.95	PS
211	3.46	PS
212	2.32	PS
213	2.9	PS
214	3.24	PS
215	3.79	PS
216	3.93	PS
217	2.61	PS
218	2.99	PS
219	3.93	PS
220	2.3	PS
221	3.97	PS
222	3.83	PS
223	2.64	PS
224	3.8	PS
225	4.38	PS
226	4.07	PS
227	0.96	PS
228	3.11	PS
229	4.73	PS
230	2.01	PS
231	2.82	PS
232	3.5	PS
233	3.28	PS
234	3.16	PS
235	3.12	PS
236	5.4	PS
237	1.15	PS
238	4.57	PS
239	5.31	PS
240	2.84	PS
241	3.62	PS
242	3.72	PS
243	1.67	PS
244	3.21	PS
245	3.09	PS
246	3.46	PS
247	5.12	PS
248	4.54	PS
249	4.57	PS
250	5	PS
251	2.96	PS
252	3.73	PS
253	4.21	PS
254	2.58	PS
255	3.28	PS
256	3.12	PS
257	2.36	PS
258	3.73	PS
259	3.85	PS
260	2.71	PS
261	3.63	PS
262	3.53	PS
263	2.55	PS
264	2.81	PS
265	4.01	PS
266	2.46	PS
267	3.65	PS
268	3.13	PS
269	4.32	PS
270	3.52	PS
271	2.61	PS
272	3.29	PS
273	3.63	PS
274	3.39	PS
275	2.02	PS
276	3.2	PS
277	2.61	PS
278	3.99	PS
279	4.34	PS
280	2.51	PS
281	3.7	PS
282	3.56	PS
283	3.1	PS
284	3.64	PS
285	4.35	PS
286	2.67	PS
287	3.45	PS
288	4.41	PS
289	2.53	PS
290	3.77	PS
291	3.49	PS
292	2.76	PS
293	2.1	PS
294	2.72	PS
295	4.49	PS
296	3.25	PS
297	2.56	PS
298	3.59	PS
299	1.74	PS
300	3.49	PS
301	3.32	PS
302	2.58	PS
303	3.31	PS
304	2.36	PS
305	3.83	PS
306	3.65	PS
