,alpha0,alpha7,alpha14,alpha21,alpha28,alpha35,alpha42,alpha49,alpha56,alpha63,alpha70,alpha77,alpha84,alpha91,alpha98,alpha105,alpha112,alpha119,ABF1_YPD,ACE2_YPD,ADR1_YPD,ARG80_YPD,ARG81_YPD,ARO80_YPD,ASH1_YPD,AZF1_YPD,BAS1_YPD,CAD1_YPD,CBF1_YPD,CHA4_YPD,CIN5_YPD,CRZ1_YPD,CUP9_YPD,DAL81_YPD,DAL82_YPD,DIG1_YPD,DOT6_YPD,FHL1_YPD,FKH1_YPD,FKH2_YPD,FZF1_YPD,GAL4_YPD,GAT1_YPD,GAT3_YPD,GCN4_YPD,GCR1_YPD,GCR2_YPD,GLN3_YPD,GTS1_YPD,HAA1_YPD,HAL9_YPD,HAP2_YPD,HAP3_YPD,HAP4_YPD,HAP5_YPD,HIR1_YPD,HIR2_YPD,HMS1_YPD,HSF1_YPD,IME4_YPD,INO2_YPD,INO4_YPD,IXR1_YPD,LEU3_YPD,MAC1_YPD,MAL13_YPD,MAL33_YPD,A1..MATA1._YPD,MBP1_YPD,MCM1_YPD,MET31_YPD,MET4_YPD,MIG1_YPD,MOT3_YPD,MSN1_YPD,MSN2_YPD,MSN4_YPD,MSS11_YPD,NDD1_YPD,NRG1_YPD,PDR1_YPD,PHD1_YPD,PHO2_YPD,PHO4_YPD,PUT3_YPD,RAP1_YPD,RCS1_YPD,REB1_YPD,RFX1_YPD,RGM1_YPD,RGT1_YPD,RIM101_YPD,RLM1_YPD,RME1_YPD,ROX1_YPD,RPH1_YPD,RTG1_YPD,RTG3_YPD,SFL1_YPD,SFP1_YPD,SIP4_YPD,SKN7_YPD,SKO1_YPD,SMP1_YPD,SOK2_YPD,STB1_YPD,STE12_YPD,STP1_YPD,STP2_YPD,SUM1_YPD,SWI4_YPD,SWI5_YPD,SWI6_YPD,THI2_YPD,UGA3_YPD,YAP1_YPD,YAP3_YPD,YAP5_YPD,YAP6_YPD,YAP7_YPD,YFL044C_YPD,YJL206C_YPD,ZAP1_YPD,ZMS1_YPD
1,-0.36,-0.42,0.29,-0.14,-0.19,-0.52,0.04,0.04,0.37,0.24,0.13,0.22,0.04,-0.24,-0.22,-0.1,0.22,0.61,-0.272273021,0.219322937,0.923835957,-0.475575615,-0.103893184,0.268402054,0.242154919,-0.086738577,-0.257637356,0.144634164,0.800486705,0.64965252,0.220916202,0.894971462,-0.021058126,0.113052741,0.686604958,-0.362293519,-0.372413332,1.230539972,0.082439774,0.738863106,1.280040119,-0.116924336,0.908322654,-0.006001642,-0.655534494,-0.410478887,0.73595596,0.172206886,0.826250227,0.04258887,-0.635527434,-0.498933943,-0.259906867,0.137878969,-0.24331201,0.230113103,-0.559578897,-0.081702391,-0.755571462,2.226849681,-0.102346957,0.180765427,-0.408277006,-0.612927527,0.781072783,-0.196653287,0.010101792,-0.212656139,0.342576249,-0.026411264,0.05475028,-0.012704168,0.052640002,-0.266304174,-0.161259432,0.400339108,0.051948369,-0.657705486,0.213972568,1.325851157,0.990528486,-0.557230609,-0.72117941,0.122635881,0.13424907,-0.078599821,0.551305153,-0.26046955,-0.119563318,1.157211066,0.268960351,0.625829875,-0.752795923,-0.514070543,0.221577068,-0.177786256,0.65265362,-0.36661771,-0.491821024,0.934539373,-0.484995335,0.186449467,0.262190303,0.998272637,-0.974177722,1.414296792,-0.345961154,-0.177746226,0.686854843,-0.204141108,0.736301022,0.97570054,1.338321661,-0.307343132,-0.406067794,-0.25571576,0.148216319,0.615101262,0.387459489,-0.769085752,0.910805869,0.481832206,-0.358274829,-0.019354076
2,1.04,0.19,0.47,-1.03,-0.63,-0.68,0.1,-0.02,0.53,0.68,0.51,-0.2,-0.34,-0.59,-0.31,-0.25,0.11,0.44,0.169128029,0.538311983,0.009760499,-0.321953432,-0.197506055,-0.019131988,0.687699365,0.138874089,-0.133577688,-0.735599624,0.496940868,-1.114840754,0.257830005,0.426652928,0.059555469,-0.009985277,-0.268534939,-0.13263385,0.73985605,-0.002791978,0.351319632,0.086034239,-0.014623559,-0.462999053,0.642889329,-0.004200775,-0.538866376,0.187826011,0.023886664,-0.412678487,-0.092114296,-0.715264789,-0.00921913,-0.402407482,-0.485561238,-0.029219807,-0.135433892,0.0041546,-0.010500211,0.010219979,-0.34814793,-0.091930262,-0.013946104,0.798392324,0.980492811,-0.122014057,0.205237725,0.540926143,0.444228468,-0.564841743,-0.07421524,1.81369062,-0.079000307,0.594977377,-0.306016941,-0.302307212,0.30804476,-0.142359242,-0.149240767,-0.877484207,0.406220124,-0.07604852,-0.16732896,0.598393125,-0.275431325,-0.736221812,0.284320221,1.555718206,-0.528091523,-0.674920441,-0.164606903,0.933609272,0.027703134,-0.088228741,0.407461745,-0.083959188,0.22169139,-0.131921839,0.056242235,-0.063408386,-0.198818741,-0.231735238,-0.254156816,0.425201788,0.420258927,0.123029787,-0.389960044,-0.38915218,0.137689226,0.015503707,-0.252334444,-0.48283382,0.650445661,0.419356588,0.695940824,-0.578809411,-0.986433262,-0.180860536,0.013226979,-0.642500626,0.024909262,-0.457330456,-0.259022079,-0.235756687,-0.383033883,0.211907571
5,-0.3,-0.45,0.75,0.37,0.27,-0.28,-0.16,-0.13,-0.56,-0.28,0.11,0.3,0.22,0.08,0.07,-0.02,0.11,-0.1,-0.1388962,0.026363822,0.087751623,-0.223409276,0.103077409,0.321439342,-0.171224968,0.425708505,0.107185818,0.096391811,-0.055555356,0.343770739,-0.050992519,0.450249901,0.1528847,0.419037879,-0.624839941,0.155594594,0.43082467,-0.017272762,-0.018173323,-0.379857079,0.507490215,0.381878604,-0.077621807,0.143678142,0.276606598,0.308551234,0.096773521,0.124421709,0.735029497,0.024569611,-0.177654812,-0.00231123,0.063337403,0.02161461,-0.004291107,0.031858845,-0.019978781,-0.181389205,-0.594265236,-0.199627344,-0.283488331,-0.053994165,0.468364146,0.004013904,-0.0275223,0.182188092,0.053395954,-0.082957808,0.092942673,-0.390124144,0.164833123,0.232316311,0.364464744,0.02142344,0.213451059,-0.252982356,0.196469188,0.099004818,-0.242369276,-0.006661651,0.218540523,-0.133530098,0.003133447,0.950873432,-0.519399819,-0.226747504,0.119164912,-0.005126322,0.694914683,-0.820608319,-0.076791462,0.159608908,-0.002243851,0.185617429,0.107488489,0.337248899,-0.333029369,-0.114755678,-0.52426078,-0.76521424,0.469794516,-0.395991226,-0.453214131,-0.225608802,0.533366291,0.168767303,-0.012883374,0.187723794,0.544821168,-0.07733213,0.081227944,-0.320643316,-0.242332806,-0.142946209,0.828472113,0.178428209,-0.006725961,0.105255263,-0.057876887,0.441624449,0.855007932,-0.039263452,0.286199727,0.238056769
8,-0.46,0.12,-0.06,-0.76,-0.7,-0.79,-0.2,-0.06,0.82,0.36,0.68,-0.13,0.2,-0.32,0.04,0.57,0.17,0.53,-0.286516858,-0.31409427,-0.045499843,0.326221738,0.277575023,-0.031717501,0.257551497,-0.014661977,0.061618201,0.003613174,-0.049827591,-0.273075181,-0.076497099,-0.063895578,-0.504606546,0.116901808,-0.160588934,-0.018129435,0.000862618,-0.317772002,-0.409279437,1.5869957,0.081546881,0.418039112,-0.021653986,-0.954018188,0.017824015,0.130585504,-0.093412471,-0.170540357,-0.158004587,-0.252304732,0.078997097,0.145711753,0.001865208,0.129721002,0.085300778,0.061402258,-0.051034877,0.241122623,-0.621651033,0.263693927,-0.76518332,0.618008652,-0.029795675,0.145449084,-0.019637416,-0.284869171,0.017694051,0.132128534,-0.181847139,1.723578394,-0.005530627,-0.027320152,0.430067059,0.01486486,-0.068025196,-0.047119983,0.129989847,1.689731994,2.031315154,0.231124297,-0.074193262,0.089925201,-0.432738544,0.962122611,-0.043843612,-0.358802942,0.148930461,-0.271428679,-0.62563994,-0.317580508,-0.109909077,0.451333302,0.306795816,-0.232473656,3.74E-05,-0.00389619,0.469054286,0.354775306,-1.17156066,-0.219625609,-0.061779725,-0.222932925,-0.390239422,0.002459717,1.177072907,-1.401278148,0.107259884,0.011526983,0.10176866,0.008352925,-0.03343444,-0.268222021,0.029555929,0.260388242,-2.135487947,-0.524532677,0.034463376,-0.377618708,0.035860774,-0.486069024,-0.037624814,0.072953945,-0.03616794,0.150705368
9,-1.35,-0.86,-0.22,-0.38,-0.65,-0.79,0.02,0.6,1.38,1.59,1.03,0.99,0.11,-0.39,-0.86,-0.41,-0.2,0.41,-0.495056114,-0.14827419,0.000298751,-0.217945828,-0.025395846,-0.251584711,0.263647902,0.190925299,-0.000181113,-0.211715962,0.184176302,-0.474864232,0.248617777,0.389694446,-0.015621592,-0.15478829,-0.187255357,0.088788018,-0.706449646,-0.317916349,0.904227887,0.100937292,-0.082333018,0.466504443,0.1403126,-0.237924584,0.043522433,-0.229137776,0.005702509,-0.00903791,-0.273110431,-0.599464781,-0.22857587,-0.249383549,0.064928504,-0.181804886,-0.259225397,0.161333194,0.100794289,-0.210052101,0.299036182,-0.371132732,-0.203721069,0.822889519,-0.00157715,0.048590398,0.001900508,0.122149742,0.239459879,-0.712437021,-0.043739704,0.339611059,-0.049473819,0.334469423,0.123298954,-0.107548446,0.208542355,-0.459449943,-0.265768542,0.634440023,0.368623765,0.333726439,-0.155472664,0.401514915,-0.447549306,0.532839178,0.028512999,-0.492249538,-0.300813778,-0.207477609,-0.075661913,-0.061245153,-0.132850405,-0.077677149,0.213152524,-0.029101181,0.348078282,0.005637842,0.056894507,0.109795275,-0.362151579,0.059391829,0.009420129,0.528990215,0.586258036,-0.063918455,0.952371143,-1.159894442,0.211926504,-0.303971865,-0.064679693,-0.010710699,-0.190923528,-0.414290954,0.198685746,-0.069692072,-1.222013658,0.019646981,0.062165932,-0.416812933,0.053374543,-0.495147229,-0.354440506,0.096402202,0.009643994,0.539917029
10,-2.06,-1.98,-1.64,-0.21,1.21,0.69,0.85,0.43,-0.32,-0.77,-1.1,-0.02,0.88,1.3,1.29,1.29,0.16,0,-0.160078262,-0.534380704,-0.076242676,-0.00313885,0.150520294,0.00725651,0.413633832,0.159577651,0.174847789,-0.561663048,0.552124221,-0.277834542,0.470681999,0.425693683,0.391801258,0.368007277,-0.513015182,-0.00271018,1.38043883,-0.034769092,-0.419652263,0.003557336,0.049881092,-0.469469587,0.244881094,0.681152825,-0.280562002,0.28940047,0.39515638,0.125098514,-0.032393632,-0.427646134,-0.187590791,0.10529751,-0.214657144,0.479239048,0.219439296,0.54298444,0.755539154,0.391062914,-0.723479156,-0.306079404,0.23026869,1.240737519,-0.098766335,-0.119752713,0.217652604,0.684237773,0.817319461,-0.668586287,0.90043676,0.469377558,0.4182015,1.078256358,-0.454798538,0.037983776,0.392660441,0.281080986,-0.191274015,-0.271761417,0.0847034,0.000480337,0.36614056,0.294491478,0.269989079,-0.016963537,0.736465902,-0.265097648,-0.200306624,-0.404744015,-0.070197385,1.098678602,0.063575144,-0.030958153,0.327061524,0.340897311,-0.073665702,0.301310669,0.127199151,-0.084365371,0.438948144,0.57036772,-0.129179861,-0.010566364,0.306797099,0.36695184,-0.249220262,-0.579084264,-0.039895964,-0.052949529,0.424421975,-0.018134037,1.205088739,-0.754741419,0.713612154,-0.328956885,-0.879180554,0.570136272,-0.339223827,-0.681928289,0.538442312,-0.418708284,-0.576613326,-0.055697815,0.090434514,0.553884104
11,-1.61,-2.55,-1.09,-0.55,0.98,1.14,0.9,0.43,-0.41,-0.38,-1.18,-0.16,0.77,1.27,1.17,1.3,0.05,-0.09,-0.160078262,-0.534380704,-0.076242676,-0.00313885,0.150520294,0.00725651,0.413633832,0.159577651,0.174847789,-0.561663048,0.552124221,-0.277834542,0.470681999,0.425693683,0.391801258,0.368007277,-0.513015182,-0.00271018,1.38043883,-0.034769092,-0.419652263,0.003557336,0.049881092,-0.469469587,0.244881094,0.681152825,-0.280562002,0.28940047,0.39515638,0.125098514,-0.032393632,-0.427646134,-0.187590791,0.10529751,-0.214657144,0.479239048,0.219439296,0.54298444,0.755539154,0.391062914,-0.723479156,-0.306079404,0.23026869,1.240737519,-0.098766335,-0.119752713,0.217652604,0.684237773,0.817319461,-0.668586287,0.90043676,0.469377558,0.4182015,1.078256358,-0.454798538,0.037983776,0.392660441,0.281080986,-0.191274015,-0.271761417,0.0847034,0.000480337,0.36614056,0.294491478,0.269989079,-0.016963537,0.736465902,-0.265097648,-0.200306624,-0.404744015,-0.070197385,1.098678602,0.063575144,-0.030958153,0.327061524,0.340897311,-0.073665702,0.301310669,0.127199151,-0.084365371,0.438948144,0.57036772,-0.129179861,-0.010566364,0.306797099,0.36695184,-0.249220262,-0.579084264,-0.039895964,-0.052949529,0.424421975,-0.018134037,1.205088739,-0.754741419,0.713612154,-0.328956885,-0.879180554,0.570136272,-0.339223827,-0.681928289,0.538442312,-0.418708284,-0.576613326,-0.055697815,0.090434514,0.553884104
14,-0.07,-0.46,0.41,0.16,0.58,-0.07,0.45,0.04,0.07,-0.07,-0.08,-0.28,-0.09,-0.08,0.16,-0.35,0.02,-0.35,0.357042059,-0.402079621,0.135066985,-0.587817395,-0.290322844,-0.069753849,0.495677973,0.051935704,-0.372288974,-0.388217123,-0.034562218,-0.661473238,1.172494684,0.211448239,-0.055160006,-0.202617723,-0.300553162,-0.284782962,0.761569444,-0.075329475,-0.100663864,-0.694416856,-0.492486484,-0.148744826,0.165032069,-0.315689755,-0.365047668,0.204627294,-0.113698139,-0.293124895,-0.204926677,-0.495724309,-0.139814342,0.091316915,-0.302957017,0.697851111,-0.245398295,-0.067812666,0.214325649,-0.329209289,-0.000794061,-0.356913404,0.169275835,1.055335543,0.767228155,-0.497075128,-0.233600405,-0.098110727,-0.09752642,-0.957227002,-0.106831523,0.003273078,-0.294473625,0.347496038,-0.14312202,0.154550676,-0.012090547,-0.629331216,-0.555424141,-0.34981872,0.027007792,0.266597547,-0.001232184,1.1874826,-2.216126401,-0.901781701,0.465257874,0.954710972,-0.308136152,0.348741862,-0.394777504,0.615468655,0.000876459,0.087009255,0.217651736,-0.298961257,0.039131514,0.084183895,-0.212619711,-0.509895406,0.712305143,-0.404786913,0.058407523,0.427622799,1.243232246,-0.338165793,0.663326947,-0.523660082,-0.226662302,-0.372920229,-0.603637276,-0.101645168,0.169191156,-0.674604282,-0.021373457,-0.496817945,-1.242254835,-0.649138357,-0.323575078,-0.513131878,1.005579496,-0.114616201,-0.569737403,-0.498828358,-0.275869699,0.481338109
16,0.11,-0.54,-0.45,-0.23,-0.14,0.39,0.15,0.15,0.02,0.17,-0.38,-0.14,-0.06,0.17,0.11,0.07,0.37,0.23,-0.052456564,0.260383183,0.060854652,-0.17679993,-0.108785652,-0.001962375,-0.033218692,0.257249881,0.072663558,-0.007561527,0.327488707,0.333036788,-0.062769084,0.357917347,0.00457028,-0.092859759,0.509195689,-0.413511839,0.637170995,0.323284975,-0.469298966,-0.681440153,-0.260968867,0.181008892,-0.12018003,0.341918591,-0.402234028,0.126652178,-0.109621344,-0.127383321,0.279603703,0.599039703,0.247558015,0.14341484,-0.172530256,-0.06881327,-0.060121659,-0.338679698,-0.010940361,-0.082542045,-0.186431214,0.276562412,0.139077694,-0.268588414,-0.002713345,-0.486555482,0.457316284,0.504215618,0.382060391,-0.096817144,-0.299548723,-0.373450199,-0.021235592,-0.211572152,-0.008674797,0.465105505,-0.292560713,-0.230699308,-0.318188629,-0.336428758,0.185090008,-0.239398479,0.800644742,-0.160102119,-0.205355716,-0.152185494,0.228516054,0.341639231,-0.225054778,0.250377588,-0.004408029,0.035167805,-0.248506834,-0.133840179,0.284187772,0.055165245,0.258771804,0.16151895,-0.246758048,0.219837621,-0.581578721,-0.207559487,-0.125462621,-0.421946076,-0.255295003,0.357009393,-0.310263203,0.466253837,-0.033058906,-0.024767,-0.151764219,-0.017633985,-0.027214972,0.409237439,-0.033507352,0.067145391,-0.805245578,-0.670938006,0.295487355,0.803795322,-0.141624926,0.000796725,-0.176874932,0.029371605,0.08303877,0.301258686
17,0.15,-0.07,-0.09,0,0.02,-0.46,-0.11,-0.14,-0.02,0.03,-0.03,0.41,0.13,0.11,0.1,0.03,-0.12,0.05,-0.064340936,0.556953473,0.416084588,0.29082625,0.03905541,-0.007143053,-0.017261212,0.208993876,-0.154233829,0.166068047,-0.37667639,0.217309023,0.734661069,-0.08220808,-0.051004028,-0.436361696,0.052536508,-0.102595632,0.050539449,-0.038078074,0.375041545,-0.136343584,-0.278711275,0.234072434,-0.114020332,-0.489008296,0.217780759,-0.472760255,-0.043468556,0.113099962,-0.469048064,-0.687840625,0.105982942,-0.516865705,0.362372032,-0.053630192,-0.224088373,0.039962495,-0.127357619,-0.079264194,-0.128476287,0.090902061,-0.131867602,-0.53368334,-0.073591066,0.135593575,-0.122890581,-0.271158135,-0.244755232,0.043926785,0.568949883,0.56170406,-0.053504436,-0.32485649,0.334292639,0.066395371,-0.207165233,-0.468014801,-0.156523817,-0.003437808,0.237685957,-0.226579062,-0.122093,0.106803504,0.521454032,0.118425114,-0.178110176,1.058059663,0.00224064,0.195182403,-0.308843433,-1.01505233,0.081506387,0.581157718,0.003756931,-0.091355461,0.187563805,-0.2338869,0.493951825,0.351834091,-1.053052845,-0.475740621,0.387931234,-0.186052735,-1.07859362,0.157692842,0.313116613,-0.121106464,0.197596323,-0.546560596,-0.08617768,-0.200049325,0.038185269,-0.264487302,0.275602483,-0.202053338,0.215696983,0.197007192,-0.058026905,0.012305925,0.011240712,-0.857620782,0.094105106,0.086905208,-0.148106879,-0.422436924
