"","x"
"1",0.836841609898486
"2",0.375878357605851
"3",0.83805898461479
"4",0.631495521454172
"5",0.331739123182663
"6",0.153465958331213
"7",0.373168905807672
"8",0.496788280195942
"9",0.351754987733927
"10",0.241733081226589
"11",0.628756565470763
"12",0.735877340076636
"13",0.480233732964789
"14",0.533183902246987
"15",0.596478328513979
"16",0.231299933357907
"17",0.837528868294012
"18",0.658040744459282
"19",0.351871006493339
"20",0.477668971377814
"21",0.618845539609674
"22",0.840702895558084
"23",0.199251014655566
"24",0.505685256912311
"25",0.78569363382451
"26",0.165188573640752
"27",0.607945579820279
"28",0.412592222253739
"29",0.202603100742093
"30",0.682435272817513
