"","x"
"1",0.684739439651806
"2",6.04228374825809
"3",2.45421935070372
"4",0.47127233734155
"5",3.34990938971932
"6",2.4126767260376
"7",6.81132834440503
"8",1.40409144694938
"9",0.62552575306166
"10",4.65991413468735
"11",2.15975501333451
"12",2.78791613865759
"13",2.31136130529436
"14",1.71934420331796
"15",3.90669701720333
"16",1.98545359910918
"17",3.78602526537454
"18",2.31042016981654
"19",3.5281046253538
"20",0.861786785745528
"21",5.49914855361344
"22",5.6539920250368
"23",2.69211205007499
"24",1.57321188379823
"25",4.00393061541014
"26",4.67030784441907
"27",12.3519732566558
"28",1.30773466171015
"29",1.18076919456523
"30",2.48290590595133
