"","x"
"1",0.00996136402293882
"2",0.429962625114636
"3",0.00658244429229377
"4",0.423125921364928
"5",0.454886673462993
"6",0.069831300759688
"7",0.554622801136052
"8",0.766027743886125
"9",1.03011780786784
"10",1.20932283525573
"11",1.51452158755603
"12",0.141352810140772
"13",0.316150946076959
"14",0.426536172141737
"15",0.102504461305216
"16",0.670786499024785
"17",0.331812338903546
"18",0.307352791307494
"19",0.70736230752448
"20",1.04306356498145
"21",0.39212713314395
"22",1.43630194836574
"23",0.220503891119733
"24",0.585598371901965
"25",0.512201355207771
"26",0.0883332514204085
"27",0.554825456791973
"28",0.188343992456794
"29",1.16528034855829
"30",0.155723580392078
