"","x"
"1",7.11293404720084
"2",2.71276064555153
"3",3.63555349111205
"4",6.6161217845423
"5",4.16074066625219
"6",2.45759687522894
"7",5.7329734849551
"8",2.74239166438923
"9",5.78902414543149
"10",4.74531191916442
"11",7.47084215845969
"12",5.46767261105937
"13",3.10221543467219
"14",6.47856752458943
"15",6.22296991639854
"16",5.09693598502565
"17",2.57985085777751
"18",5.44668223822789
"19",5.79239994670221
"20",2.30355850521216
"21",6.48129440394796
"22",7.77871841078884
"23",2.48931977446787
"24",2.29944833399836
"25",6.61111950394933
"26",4.201535659149
"27",5.68034244473025
"28",6.85878643345173
"29",3.6382361776413
"30",4.13349389439036
