"study" "TP" "FN" "FP" "TN"
"1" 1 12 0 29 289
"2" 2 10 2 14 72
"3" 3 17 1 36 85
"4" 4 13 0 18 67
"5" 5 4 0 21 225
"6" 6 15 2 122 403
"7" 7 45 5 28 34
"8" 8 18 4 69 133
"9" 9 5 0 11 34
"10" 10 8 9 15 96
"11" 11 5 0 7 63
"12" 12 11 2 122 610
"13" 13 5 1 6 145
"14" 14 7 5 25 342
"15" 15 10 1 93 296
"16" 16 5 5 41 271
"17" 17 5 0 15 53
"18" 18 55 13 19 913
"19" 19 6 2 12 30
"20" 20 42 26 19 913
"21" 21 5 3 5 37
"22" 22 13 0 11 125
"23" 23 20 0 24 287
"24" 24 7 6 13 72
"25" 25 48 2 15 47
"26" 26 11 1 14 72
"27" 27 15 5 32 170
"28" 28 68 13 5 11
"29" 29 13 1 5 72
"30" 30 8 3 66 323
"31" 31 13 1 98 293
"32" 32 14 1 0 155
"33" 33 8 2 4 60
