ID,Age.pos,Age.neg
1,47,50
2,45,42
3,31,50
4,38,43
5,44,47
6,49,38
7,48,41
8,44,48
9,47,47
10,45,36
11,37,42
12,43,42
13,49,45
14,32,44
15,41,32
16,38,46
17,37,50
18,44,38
19,45,43
20,46,40
21,26,42
22,49,46
23,48,41
24,45,46
25,46,48
26,52,36
27,51,43
28,,40
29,,41
30,,48
31,,41
32,,45
33,,47
34,,43
35,,43
36,,49
37,,45
38,,41
39,,50
40,,49
41,,38
42,,42
43,,44
44,,48
45,,50
46,,44
47,,49
48,,43
49,,42
50,,50
51,,39
52,,42
53,,49
54,,43
55,,50
56,,49
57,,37
58,,48
59,,48
60,,48
61,,49
62,,45
63,,44
64,,35
65,,49
66,,39
67,,46
68,,49
69,,37
70,,50
71,,35
72,,47
73,,43
74,,41
75,,43
76,,42
77,,39
78,,40
79,,37
80,,44
81,,39
82,,45
83,,42
84,,49
85,,41
86,,36
87,,29
88,,43
89,,45
90,,47
91,,49
92,,41
93,,41
94,,36
95,,38
96,,49
97,,49
98,,42
99,,46
100,,42
101,,51
102,,51
103,,52
104,,52
105,,52
106,,52
107,,52
108,,53
109,,52
110,,51
111,,51
112,,51
113,,51
114,,51
115,,47
116,,39
117,,51
